cog_id,root,Dscore,Statistic,Pvalue,AdjPvalue,clade_name,protein_id,ssp_id,preferred_name
NOG30930,14,0.8603,7.416,6.03e-14,3.84e-10,Polyneoptera,FBpp0303017,7227,CG4230
NOG34991,14,0.8822,7.412,6.21e-14,3.95e-10,Polyneoptera,FBpp0079282,7227,Akap200
NOG15212,14,0.9388,7.408,6.4e-14,4.08e-10,Polyneoptera,FBpp0070065,7227,CG3777
NOG19446,14,1,7.386,7.57e-14,4.82e-10,Polyneoptera,FBpp0078260,7227,Osi18
NOG19446,14,1,7.386,7.57e-14,4.82e-10,Polyneoptera,FBpp0081205,7227,Osi20
NOG29529,14,0.8916,7.384,7.66e-14,4.88e-10,Polyneoptera,FBpp0082161,7227,Paip2
NOG272732,14,0.8724,7.376,8.16e-14,5.2e-10,Polyneoptera,FBpp0073871,7227,CG15601
NOG272732,14,0.8724,7.376,8.16e-14,5.2e-10,Polyneoptera,FBpp0078211,7227,CG12768
NOG272732,14,0.8724,7.376,8.16e-14,5.2e-10,Polyneoptera,FBpp0084913,7227,CG11504
NOG272732,14,0.8724,7.376,8.16e-14,5.2e-10,Polyneoptera,FBpp0113015,7227,CG30403
NOG272732,14,0.8724,7.376,8.16e-14,5.2e-10,Polyneoptera,FBpp0305581,7227,CG6175
NOG39538,14,0.8898,7.374,8.28e-14,5.27e-10,Polyneoptera,FBpp0111783,7227,Dh44
NOG29527,14,0.8145,7.369,8.59e-14,5.47e-10,Polyneoptera,FBpp0082935,7227,CG14321
NOG27180,14,0.8974,7.367,8.71e-14,5.55e-10,Polyneoptera,FBpp0076463,7227,CG32365
NOG43530,14,0.8704,7.365,8.87e-14,5.65e-10,Polyneoptera,FBpp0070797,7227,CG15766
NOG43530,14,0.8704,7.365,8.87e-14,5.65e-10,Polyneoptera,FBpp0078873,7227,AANATL2
NOG43530,14,0.8704,7.365,8.87e-14,5.65e-10,Polyneoptera,FBpp0080882,7227,CG10659
NOG43530,14,0.8704,7.365,8.87e-14,5.65e-10,Polyneoptera,FBpp0085702,7227,CG18607
NOG43530,14,0.8704,7.365,8.87e-14,5.65e-10,Polyneoptera,FBpp0085746,7227,CG10476
NOG43530,14,0.8704,7.365,8.87e-14,5.65e-10,Polyneoptera,FBpp0289819,7227,CG18606
NOG272056,14,0.7954,7.355,9.52e-14,6.06e-10,Polyneoptera,FBpp0073380,7227,RPA3
NOG28166,14,0.9284,7.353,9.66e-14,6.15e-10,Polyneoptera,FBpp0288767,7227,beat-VII
NOG241612,14,0.9178,7.347,1.01e-13,6.44e-10,Polyneoptera,FBpp0080953,7227,CG31676
NOG241612,14,0.9178,7.347,1.01e-13,6.44e-10,Polyneoptera,FBpp0080955,7227,twit
NOG01991,14,0.8763,7.347,1.01e-13,6.45e-10,Polyneoptera,FBpp0083705,7227,CG7029
NOG07423,14,0.8187,7.337,1.09e-13,6.97e-10,Polyneoptera,FBpp0297121,7227,cp309
NOG26635,14,0.8429,7.318,1.26e-13,8.04e-10,Polyneoptera,FBpp0077652,7227,Pino
NOG34488,14,0.8995,7.306,1.38e-13,8.76e-10,Polyneoptera,FBpp0297080,7227,CG13024
NOG39040,14,0.8123,7.29,1.55e-13,9.86e-10,Polyneoptera,FBpp0111364,7227,Blos3
NOG272262,14,0.8292,7.288,1.5700000000000001e-13,1e-9,Polyneoptera,FBpp0099600,7227,Kaz1-ORFB
NOG269407,14,0.8572,7.281,1.65e-13,1.05e-9,Polyneoptera,FBpp0073935,7227,CG8924
NOG272752,14,0.9082,7.28,1.66e-13,1.06e-9,Polyneoptera,FBpp0074888,7227,mus304
NOG45406,14,0.8776,7.28,1.67e-13,1.06e-9,Polyneoptera,FBpp0077643,7227,CG5126
NOG45406,14,0.8776,7.28,1.67e-13,1.06e-9,Polyneoptera,FBpp0086283,7227,JhI-26
NOG266670,14,0.8776,7.262,1.9e-13,1.21e-9,Polyneoptera,FBpp0297890,7227,chinmo
NOG245448,14,0.8776,7.259,1.94e-13,1.24e-9,Polyneoptera,FBpp0305863,7227,CG17600
NOG06093,14,0.8558,7.257,1.98e-13,1.26e-9,Polyneoptera,FBpp0087086,7227,Drep1
NOG06093,14,0.8558,7.257,1.98e-13,1.26e-9,Polyneoptera,FBpp0087087,7227,Drep3
NOG24509,14,0.8654,7.243,2.2e-13,1.4e-9,Polyneoptera,FBpp0078245,7227,Osi6
NOG05411,14,0.7836,7.225,2.5e-13,1.59e-9,Polyneoptera,FBpp0081310,7227,CG10435
NOG83298,14,0.8872,7.223,2.54e-13,1.62e-9,Polyneoptera,FBpp0072757,7227,CG13807
NOG244415,14,0.879,7.209,2.83e-13,1.8e-9,Polyneoptera,FBpp0290805,7227,Spindly
NOG270374,14,0.8254,7.205,2.9e-13,1.85e-9,Polyneoptera,FBpp0083151,7227,CG3773
NOG10979,14,0.8023,7.198,3.05e-13,1.94e-9,Polyneoptera,FBpp0082698,7227,CG31291
NOG251498,14,0.8566,7.191,3.21e-13,2.04e-9,Polyneoptera,FBpp0088026,7227,blow
NOG26583,14,0.8456,7.187,3.3e-13,2.1e-9,Polyneoptera,FBpp0081329,7227,COX7AL
NOG26583,14,0.8456,7.187,3.3e-13,2.1e-9,Polyneoptera,FBpp0296960,7227,COX7A
NOG26583,14,0.8456,7.187,3.3e-13,2.1e-9,Polyneoptera,FBpp0303513,7227,CG34172
NOG33880,14,0.8388,7.183,3.41e-13,2.17e-9,Polyneoptera,FBpp0073746,7227,CG12540
NOG08930,14,0.7589,7.178,3.54e-13,2.26e-9,Polyneoptera,FBpp0074552,7227,CG12204
NOG269942,14,0.8123,7.169,3.78e-13,2.41e-9,Polyneoptera,FBpp0085013,7227,spdo
NOG237963,14,0.8654,7.161,4.01e-13,2.55e-9,Polyneoptera,FBpp0084533,7227,CG3368
KOG4782,14,0.7765,7.149,4.36e-13,2.78e-9,Polyneoptera,FBpp0291477,7227,Ccdc56
NOG24834,14,0.8776,7.141,4.63e-13,2.95e-9,Polyneoptera,FBpp0076715,7227,CG13300
NOG24834,14,0.8776,7.141,4.63e-13,2.95e-9,Polyneoptera,FBpp0292362,7227,CG42747
NOG06473,14,0.7508,7.129,5.04e-13,3.21e-9,Polyneoptera,FBpp0083724,7227,CG13842
NOG132703,14,0.8884,7.111,5.77e-13,3.68e-9,Polyneoptera,FBpp0075122,7227,spd-2
NOG09105,14,0.8323,7.081,7.18e-13,4.57e-9,Polyneoptera,FBpp0073951,7227,CG9170
NOG09857,14,0.7696,7.065,8.01e-13,5.1e-9,Polyneoptera,FBpp0080735,7227,pigeon
NOG10849,14,0.8035,7.043,9.38e-13,5.98e-9,Polyneoptera,FBpp0112135,7227,CG12213
NOG256711,14,0.8531,6.928,2.14e-12,1.36e-8,Polyneoptera,FBpp0078998,7227,CG32829
NOG20331,14,0.7823,6.922,2.23e-12,1.42e-8,Polyneoptera,FBpp0084437,7227,T48
NOG28601,14,0.7837,6.918,2.3e-12,1.46e-8,Polyneoptera,FBpp0290723,7227,CG11293
NOG04266,14,0.7839,6.894,2.71e-12,1.72e-8,Polyneoptera,FBpp0076485,7227,CG8111
NOG245596,14,0.7641,6.89,2.78e-12,1.77e-8,Polyneoptera,FBpp0074760,7227,CG14085
NOG250154,14,0.8204,6.877,3.06e-12,1.95e-8,Polyneoptera,FBpp0074456,7227,CG32537
NOG08639,14,0.7375,6.845,3.83e-12,2.44e-8,Polyneoptera,FBpp0083914,7227,CG33111
NOG24567,14,0.847,6.83,4.26e-12,2.71e-8,Polyneoptera,FBpp0298342,7227,CG31086
NOG38785,14,0.7715,6.823,4.45e-12,2.83e-8,Polyneoptera,FBpp0079651,7227,l(2)SH0834
NOG28944,14,0.7884,6.822,4.5e-12,2.87e-8,Polyneoptera,FBpp0086219,7227,CG8910
NOG11998,14,0.7202,6.74,7.92e-12,5.05e-8,Polyneoptera,FBpp0077544,7227,CG14352
NOG11998,14,0.7202,6.74,7.92e-12,5.05e-8,Polyneoptera,FBpp0304088,7227,Ude
NOG01227,14,0.6794,6.72,9.06e-12,5.77e-8,Polyneoptera,FBpp0075051,7227,CG6652
KOG4282,14,0.7291,6.71,9.7e-12,6.18e-8,Polyneoptera,FBpp0071617,7227,CG10494
KOG4282,14,0.7291,6.71,9.7e-12,6.18e-8,Polyneoptera,FBpp0084492,7227,CG18766
KOG4282,14,0.7291,6.71,9.7e-12,6.18e-8,Polyneoptera,FBpp0288372,7227,CG10151
KOG4282,14,0.7291,6.71,9.7e-12,6.18e-8,Polyneoptera,FBpp0304300,7227,CG13148
NOG07591,14,0.6935,6.541,3.06e-11,1.95e-7,Polyneoptera,FBpp0071482,7227,CG15651
NOG02881,14,0.6727,6.497,4.1e-11,2.61e-7,Polyneoptera,FBpp0077721,7227,CG4133
NOG06905,14,0.682,6.479,4.63e-11,2.95e-7,Polyneoptera,FBpp0075318,7227,CG12304
NOG09666,14,0.7065,6.41,7.27e-11,4.63e-7,Polyneoptera,FBpp0086454,7227,Cep89
KOG3495,14,0.6776,6.392,8.19e-11,5.22e-7,Polyneoptera,FBpp0073963,7227,sun
KOG3495,14,0.6776,6.392,8.19e-11,5.22e-7,Polyneoptera,FBpp0112320,7227,CG31477
NOG270287,14,0.6522,6.371,9.41e-11,5.99e-7,Polyneoptera,FBpp0112286,7227,CG30381
NOG233775,14,0.7176,6.368,9.55e-11,6.08e-7,Polyneoptera,FBpp0111653,7227,ND-MWFE
NOG33989,14,0.6578,6.273,1.77e-10,1.13e-6,Polyneoptera,FBpp0087675,7227,CG30343
NOG09550,14,0.6088,6.139,4.15e-10,2.64e-6,Polyneoptera,FBpp0081416,7227,CG9839
NOG11450,14,0.6087,6.138,4.18e-10,2.67e-6,Polyneoptera,FBpp0290931,7227,CG42588
NOG05273,14,0.6055,6.112,4.9e-10,3.12e-6,Polyneoptera,FBpp0300394,7227,DOR
NOG258016,14,0.6392,6.079,6.03e-10,3.84e-6,Polyneoptera,FBpp0077338,7227,CG17260
NOG02972,14,0.6368,5.986,1.08e-9,6.85e-6,Polyneoptera,FBpp0078970,7227,Rca1
NOG17572,14,0.6205,5.68,6.74e-9,4.29e-5,Polyneoptera,FBpp0300169,7227,jv
KOG4772,14,0.5689,5.544,1.47e-8,9.39e-5,Polyneoptera,FBpp0075748,7227,CG5626
NOG16990,14,0.6205,5.499,1.91e-8,1.22e-4,Polyneoptera,FBpp0290383,7227,CG11307
NOG04423,14,0.6328,5.428,2.85e-8,1.81e-4,Polyneoptera,FBpp0078219,7227,Chro
NOG270489,14,0.4577,4.709,1.25e-6,0.00794,Polyneoptera,FBpp0083102,7227,Muc91C
NOG15369,15,0.9877,8.446,1.5e-17,9.58e-14,Crustacea,FBpp0072304,7227,uzip
NOG257278,15,1,8.377,2.72e-17,1.73e-13,Crustacea,FBpp0081453,7227,CG8420
NOG255179,15,1,8.185,1.36e-16,8.69e-13,Crustacea,FBpp0073076,7227,tipE
NOG255179,15,1,8.185,1.36e-16,8.69e-13,Crustacea,FBpp0081629,7227,Teh1
NOG255179,15,1,8.185,1.36e-16,8.69e-13,Crustacea,FBpp0289848,7227,Teh2
NOG264751,15,0.9857,8.182,1.4e-16,8.92e-13,Crustacea,FBpp0072359,7227,lov
NOG08936,15,0.9912,8.175,1.48e-16,9.42e-13,Crustacea,FBpp0073774,7227,be
NOG11985,15,0.979,8.142,1.95e-16,1.24e-12,Crustacea,FBpp0076439,7227,CG7201
NOG16588,15,1,8.1,2.75e-16,1.75e-12,Crustacea,FBpp0081619,7227,CG8516
NOG258810,15,0.9687,8.054,4e-16,2.55e-12,Crustacea,FBpp0088611,7227,SIP2
NOG258810,15,0.9687,8.054,4e-16,2.55e-12,Crustacea,FBpp0289066,7227,CG42326
NOG25462,15,0.9606,8.044,4.36e-16,2.78e-12,Crustacea,FBpp0073535,7227,CG32647
NOG25462,15,0.9606,8.044,4.36e-16,2.78e-12,Crustacea,FBpp0294062,7227,CG42404
NOG26886,15,0.9877,8.032,4.81e-16,3.06e-12,Crustacea,FBpp0085978,7227,olf186-M
NOG26317,15,1,7.99,6.74e-16,4.29e-12,Crustacea,FBpp0072073,7227,PebIII
NOG26317,15,1,7.99,6.74e-16,4.29e-12,Crustacea,FBpp0072311,7227,Phk-3
NOG26317,15,1,7.99,6.74e-16,4.29e-12,Crustacea,FBpp0075050,7227,a10
NOG06486,15,0.9822,7.988,6.87e-16,4.37e-12,Crustacea,FBpp0111942,7227,CG31886
NOG13720,15,0.9584,7.987,6.91e-16,4.4e-12,Crustacea,FBpp0076239,7227,CG13313
NOG13720,15,0.9584,7.987,6.91e-16,4.4e-12,Crustacea,FBpp0077332,7227,CG17264
NOG13720,15,0.9584,7.987,6.91e-16,4.4e-12,Crustacea,FBpp0083152,7227,CG14280
NOG25117,15,0.9771,7.987,6.94e-16,4.42e-12,Crustacea,FBpp0085613,7227,Cpr56F
NOG25117,15,0.9771,7.987,6.94e-16,4.42e-12,Crustacea,FBpp0086175,7227,resilin
NOG28502,15,0.9944,7.978,7.45e-16,4.75e-12,Crustacea,FBpp0085084,7227,Npc2h
NOG28502,15,0.9944,7.978,7.45e-16,4.75e-12,Crustacea,FBpp0085085,7227,Npc2g
NOG269378,15,0.9552,7.967,8.15e-16,5.19e-12,Crustacea,FBpp0075773,7227,CG7252
NOG269378,15,0.9552,7.967,8.15e-16,5.19e-12,Crustacea,FBpp0078795,7227,obst-E
NOG239424,15,1,7.964,8.3e-16,5.28e-12,Crustacea,FBpp0305983,7227,klar
NOG257542,15,1,7.963,8.36e-16,5.33e-12,Crustacea,FBpp0071081,7227,l(1)G0193
NOG257542,15,1,7.963,8.36e-16,5.33e-12,Crustacea,FBpp0292439,7227,CG31664
NOG22018,15,0.8362,7.956,8.91e-16,5.67e-12,Crustacea,FBpp0072182,7227,CG30419
NOG10190,15,0.9442,7.941,1e-15,6.37e-12,Crustacea,FBpp0088180,7227,lgs
NOG07819,15,0.9889,7.935,1.06e-15,6.72e-12,Crustacea,FBpp0291491,7227,exu
NOG13228,15,0.9944,7.926,1.13e-15,7.21e-12,Crustacea,FBpp0076598,7227,CG14830
NOG12259,15,0.987,7.926,1.13e-15,7.22e-12,Crustacea,FBpp0077646,7227,CG5080
NOG07888,15,1,7.92,1.19e-15,7.56e-12,Crustacea,FBpp0073113,7227,Teh3
NOG07888,15,1,7.92,1.19e-15,7.56e-12,Crustacea,FBpp0290859,7227,Teh4
NOG10923,15,1,7.919,1.2e-15,7.65e-12,Crustacea,FBpp0075408,7227,CG16959
NOG24590,15,0.9301,7.913,1.26e-15,8.02e-12,Crustacea,FBpp0077658,7227,S
NOG270198,15,0.9944,7.908,1.31e-15,8.35e-12,Crustacea,FBpp0089101,7227,Dat
NOG269846,15,1,7.903,1.36e-15,8.67e-12,Crustacea,FBpp0085596,7227,CG8929
NOG248729,15,0.9795,7.889,1.53e-15,9.72e-12,Crustacea,FBpp0074222,7227,CG12991
NOG259412,15,0.9894,7.874,1.71e-15,1.09e-11,Crustacea,FBpp0077027,7227,PeriA
NOG247806,15,1,7.874,1.72e-15,1.1e-11,Crustacea,FBpp0081751,7227,Desi
NOG15463,15,0.9158,7.864,1.86e-15,1.18e-11,Crustacea,FBpp0080359,7227,beat-Ic
NOG15463,15,0.9158,7.864,1.86e-15,1.18e-11,Crustacea,FBpp0080364,7227,beat-Ia
NOG15463,15,0.9158,7.864,1.86e-15,1.18e-11,Crustacea,FBpp0080366,7227,beat-Ib
NOG12531,15,0.8857,7.857,1.97e-15,1.26e-11,Crustacea,FBpp0080449,7227,ChLD3
NOG21503,15,0.8936,7.852,2.04e-15,1.3e-11,Crustacea,FBpp0099405,7227,CG33995
NOG260033,15,0.9454,7.848,2.12e-15,1.35e-11,Crustacea,FBpp0087368,7227,psq
NOG23361,15,0.9734,7.848,2.12e-15,1.35e-11,Crustacea,FBpp0082774,7227,CG10311
NOG35429,15,0.9877,7.847,2.13e-15,1.36e-11,Crustacea,FBpp0074679,7227,fln
NOG11617,15,1,7.845,2.16e-15,1.38e-11,Crustacea,FBpp0077026,7227,obst-A
NOG06372,15,1,7.833,2.39e-15,1.52e-11,Crustacea,FBpp0083562,7227,tsl
NOG12989,15,0.9035,7.832,2.4e-15,1.53e-11,Crustacea,FBpp0072656,7227,CG13921
NOG271785,15,0.9673,7.829,2.46e-15,1.56e-11,Crustacea,FBpp0303353,7227,CG43394
NOG06795,15,0.9251,7.828,2.48e-15,1.58e-11,Crustacea,FBpp0079593,7227,CG5056
NOG09333,15,0.9716,7.825,2.53e-15,1.61e-11,Crustacea,FBpp0075559,7227,CG10710
NOG32127,15,0.9085,7.822,2.6e-15,1.66e-11,Crustacea,FBpp0070623,7227,mRpL33
NOG258824,15,0.9894,7.82,2.64e-15,1.68e-11,Crustacea,FBpp0073449,7227,dy
NOG269426,15,0.9693,7.816,2.72e-15,1.74e-11,Crustacea,FBpp0085955,7227,lolal
NOG13035,15,0.9993,7.815,2.74e-15,1.75e-11,Crustacea,FBpp0304816,7227,ab
NOG17703,15,0.957,7.813,2.8e-15,1.78e-11,Crustacea,FBpp0075602,7227,CG14120
NOG17703,15,0.957,7.813,2.8e-15,1.78e-11,Crustacea,FBpp0075604,7227,CG14118
NOG17703,15,0.957,7.813,2.8e-15,1.78e-11,Crustacea,FBpp0305859,7227,CG3819
NOG08432,15,0.9606,7.803,3.01e-15,1.92e-11,Crustacea,FBpp0077076,7227,CG15628
NOG08432,15,0.9606,7.803,3.01e-15,1.92e-11,Crustacea,FBpp0099421,7227,CG34010
NOG11665,15,1,7.782,3.57e-15,2.27e-11,Crustacea,FBpp0288916,7227,corn
NOG21069,15,1,7.781,3.6e-15,2.29e-11,Crustacea,FBpp0073371,7227,bif
NOG29734,15,0.9894,7.778,3.68e-15,2.35e-11,Crustacea,FBpp0084507,7227,spz
NOG11909,15,0.8314,7.773,3.83e-15,2.44e-11,Crustacea,FBpp0071400,7227,CG32681
NOG11909,15,0.8314,7.773,3.83e-15,2.44e-11,Crustacea,FBpp0300571,7227,CG33978
NOG06601,15,0.9102,7.767,4.03e-15,2.56e-11,Crustacea,FBpp0298307,7227,BtbVII
NOG08756,15,1,7.763,4.13e-15,2.63e-11,Crustacea,FBpp0081875,7227,sals
NOG37070,15,0.9386,7.755,4.42e-15,2.82e-11,Crustacea,FBpp0289728,7227,ana
NOG269593,15,0.9137,7.748,4.69e-15,2.98e-11,Crustacea,FBpp0072769,7227,CG13800
NOG19327,15,1,7.74,4.97e-15,3.17e-11,Crustacea,FBpp0074490,7227,CG14200
NOG233389,15,0.9606,7.737,5.07e-15,3.23e-11,Crustacea,FBpp0302733,7227,CG14395
NOG259054,15,0.9771,7.737,5.08e-15,3.24e-11,Crustacea,FBpp0078268,7227,Gasp
NOG15879,15,0.9693,7.73,5.37e-15,3.42e-11,Crustacea,FBpp0112115,7227,CG17816
NOG08364,15,1,7.727,5.5e-15,3.5e-11,Crustacea,FBpp0304821,7227,CG43861
NOG23578,15,0.979,7.725,5.58e-15,3.56e-11,Crustacea,FBpp0084641,7227,CG5003
NOG10650,15,0.9319,7.725,5.6e-15,3.57e-11,Crustacea,FBpp0302745,7227,Bsg25D
NOG13512,15,1,7.723,5.7e-15,3.63e-11,Crustacea,FBpp0078651,7227,qtc
NOG27234,15,0.9386,7.712,6.18e-15,3.93e-11,Crustacea,FBpp0072332,7227,Reg-5
NOG21935,15,0.9489,7.711,6.24e-15,3.98e-11,Crustacea,FBpp0076770,7227,l(3)mbn
NOG21124,15,0.9944,7.708,6.37e-15,4.06e-11,Crustacea,FBpp0290421,7227,CG8547
NOG11755,15,0.9944,7.696,7.02e-15,4.47e-11,Crustacea,FBpp0074903,7227,CG13698
NOG21100,15,0.8953,7.692,7.22e-15,4.6e-11,Crustacea,FBpp0113067,7227,qvr
NOG270181,15,0.947,7.69,7.33e-15,4.67e-11,Crustacea,FBpp0292311,7227,CG14608
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0070142,7227,CG13360
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0073384,7227,CG1561
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0074289,7227,CG7135
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0074891,7227,CG32195
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0076283,7227,CG5644
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0078238,7227,CG31562
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0078912,7227,CG9498
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0079525,7227,CG33301
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0081914,7227,CG6834
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0081915,7227,CG6830
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0082982,7227,CG14314
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084199,7227,CG31300
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084200,7227,CG31104
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084202,7227,CG11893
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084203,7227,CG13659
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084205,7227,CG31436
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084225,7227,CG10562
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084226,7227,CG10560
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084227,7227,CG10553
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084229,7227,CG31087
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084230,7227,CG31099
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084231,7227,CG10550
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084234,7227,CG31288
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084236,7227,CG31102
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084237,7227,CG31098
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084238,7227,CG10514
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0084292,7227,CG31380
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0085633,7227,CG16898
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0088588,7227,CG11892
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0090945,7227,CG33509
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0090947,7227,CG33511
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0112258,7227,CG18765
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0112264,7227,CHKov1
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0112997,7227,CG10513
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0271869,7227,CG13658
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0288491,7227,CG31097
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0288494,7227,CG31370
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0289589,7227,CG33510
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0291406,7227,CG31975
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0303495,7227,CG31974
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0303667,7227,CG9497
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0304346,7227,CG9259
NOG17655,15,0.9454,7.69,7.38e-15,4.7e-11,Crustacea,FBpp0305172,7227,CG2004
NOG16479,15,0.9386,7.689,7.44e-15,4.74e-11,Crustacea,FBpp0088384,7227,lola
NOG254159,15,0.9331,7.681,7.92e-15,5.04e-11,Crustacea,FBpp0083437,7227,CG7044
NOG21047,15,0.9428,7.666,8.85e-15,5.64e-11,Crustacea,FBpp0078549,7227,CG1103
NOG22103,15,0.9331,7.661,9.19e-15,5.85e-11,Crustacea,FBpp0074016,7227,CG9917
NOG22103,15,0.9331,7.661,9.19e-15,5.85e-11,Crustacea,FBpp0302731,7227,CG11378
NOG03524,15,0.9912,7.658,9.46e-15,6.02e-11,Crustacea,FBpp0111868,7227,CG15894
NOG34918,15,0.8717,7.653,9.82e-15,6.25e-11,Crustacea,FBpp0076544,7227,CG14826
NOG34918,15,0.8717,7.653,9.82e-15,6.25e-11,Crustacea,FBpp0084010,7227,CG17784
NOG34918,15,0.8717,7.653,9.82e-15,6.25e-11,Crustacea,FBpp0085631,7227,CG13869
NOG34918,15,0.8717,7.653,9.82e-15,6.25e-11,Crustacea,FBpp0112372,7227,CG33342
NOG22782,15,0.9338,7.633,1.14e-14,7.28e-11,Crustacea,FBpp0082711,7227,tara
NOG12650,15,0.908,7.633,1.15e-14,7.33e-11,Crustacea,FBpp0305841,7227,CG18265
NOG270085,15,0.918,7.625,1.22e-14,7.76e-11,Crustacea,FBpp0084758,7227,CG14515
NOG31494,15,0.79990000000000006,7.605,1.43e-14,9.1e-11,Crustacea,FBpp0077789,7227,CG11562
NOG04812,15,0.9428,7.601,1.47e-14,9.39e-11,Crustacea,FBpp0074236,7227,CG6398
NOG24552,15,0.9684,7.599,1.5e-14,9.53e-11,Crustacea,FBpp0072881,7227,spz5
NOG27812,15,0.879,7.593,1.56e-14,9.95e-11,Crustacea,FBpp0302564,7227,miple
NOG27812,15,0.879,7.593,1.56e-14,9.95e-11,Crustacea,FBpp0305059,7227,miple2
NOG26391,15,0.9158,7.59,1.6e-14,1.02e-10,Crustacea,FBpp0086893,7227,CG3955
NOG27716,15,0.832,7.587,1.64e-14,1.05e-10,Crustacea,FBpp0112496,7227,ND-AGGG
NOG27716,15,0.832,7.587,1.64e-14,1.05e-10,Crustacea,FBpp0291442,7227,CG40472
NOG254354,15,0.95,7.555,2.09e-14,1.33e-10,Crustacea,FBpp0079308,7227,Dh31
NOG08339,15,0.9877,7.543,2.3e-14,1.47e-10,Crustacea,FBpp0074578,7227,CG12702
NOG270144,15,0.8594,7.542,2.32e-14,1.48e-10,Crustacea,FBpp0075968,7227,CG6310
NOG07339,15,0.9208,7.539,2.36e-14,1.5e-10,Crustacea,FBpp0290833,7227,stnA
NOG22531,15,0.8787,7.538,2.39e-14,1.52e-10,Crustacea,FBpp0081981,7227,CG10005
NOG23223,15,1,7.538,2.39e-14,1.52e-10,Crustacea,FBpp0112336,7227,CG32121
NOG20771,15,0.9277,7.522,2.7e-14,1.72e-10,Crustacea,FBpp0089001,7227,NijA
NOG20771,15,0.9277,7.522,2.7e-14,1.72e-10,Crustacea,FBpp0112140,7227,NijC
NOG240760,15,0.8969,7.514,2.87e-14,1.83e-10,Crustacea,FBpp0074963,7227,Pep
NOG240760,15,0.8969,7.514,2.87e-14,1.83e-10,Crustacea,FBpp0076068,7227,CG8108
NOG27904,15,0.9227,7.512,2.9e-14,1.85e-10,Crustacea,FBpp0085070,7227,CG15544
